白葱 1/2~1本
*バジル 適量　
塩（漬物用粗塩） 豚肉１００ｇ当たり小さじ１/２
卵 1つ
★しょうが(すりおろす) １片
カニかま １／２本
玉ねぎ 小~中1個
つゆ 市販のパックの物３つ
たまご １個
みりん 1カップ
水 ７00cc
醤油 大さじ２
とろけるチーズ 適量
牛肉（柔らかい部位推奨）（又は鶏肉でも可） ４００ｇ
チャーシューの切れ端 適量
じゃがいも 2個
しめじ 1袋
里芋 460ｇ（正味）
りんご 1個
◆ブロッコリーの茎 1房分
つぶしニンニク 2かけ　20ｇ
切り干し大根 35g
砂糖 １２０ｇ
イ－スト 6グラム
ゴルゴンゾーラ（他の青カビでも可） 30ｇ（お好みの分量で可）
砂糖 １２０ｇ
バナナ(熟して黒くなったもの) 2、3本
レンコン 中位のを２節
砂糖 ６０ｇ
もやし 2袋
人参 小2本
とろけるチーズ 適量
カボチャ 1/8個
ﾄﾏﾄ 2個
●しょうゆ 大さじ３
塩・コショウ 少々
はちみつ 150～200g位？
新じゃがいも 400g
じゃが芋 ２個
砂糖 400ｇ
食パン（6枚切り） 1枚
玉ねぎ １/４個
牛乳 コップ一杯
胡椒 適量
ごぼう、にんじん 好きなだけ
片栗粉 大1
ライ麦粉 ５０ｇ
砂糖 大さじ6
たまねぎ １個
卵 2個
砂糖 大さじ６
バナナ １本
★砂糖 大さじ1
パイシート（市販の冷凍品） １枚
ニッスイの魚肉ソーセージ １本
練乳 大さじ3杯
焼肉のたれ 適当
薄力粉 30ｇ
水 ブリが浸る程度
あじの干物 1枚
塩 少々
にんにく 2かけら
鳥胸肉 大1枚
白菜 1/4個
長ネギ 1本
★米粉 20g
日清中華街のから揚げ粉（香味醤油味） 半量
にんにく 2かけら
鶏胸肉 80g
にんにく、しょうが 各2かけら
鶏肉（一口大） 2、3切れ
アップルジュース１００％ ５００ｍｌ
●味噌 大さじ２
大根 薄切りを８枚
胡麻油 小さじ1
玉ねぎ 1個
れんこん １００ｇ
卵 1個
くちなし(なくても) 1ｺ
黒オリーブ ４粒
インスタントコーヒー 大さじ１
ホットケーキミックス １５０グラム
オイスターソース 大さじ２
卵 1個
チーズ ２分の１枚
ニッスイおさかなのソーセージ １本
★牛乳 大さじ２
砂糖 １０グラム
赤ピーマン 1個
栗の甘露煮 １瓶（だいたい栗が10粒）
片栗粉 １０ｇ
砂糖 60g
ジャガイモ 1個
寿司酢 適量
卵 9 個
とり肉 120ｇ
砂糖 １５ｇ
にんにく １かけ
バナナ １～２本
玉ねぎ 1/2〜1個
小麦粉 120g
グレープシードオイル６０ｇ ヨーグルト８０ｇ
グラニュー糖 70g
砂糖 １５～３０ｇ
塩 お好みで
豚バラスライス ８～10枚
葱 適量
卵 3個
豚バラスライス ２００ｇ
ハム 好きなだけ
サイダー 150g
レタス（千切り） お好みで（写真は１/4玉です）
クリームチーズ １００グラム
　塩・胡椒 少々
EXオリーヴオイル 大さじ４
生クリーム 2パック
シーチキン(80g) １缶
上新粉 70g
QBBのベビーチーズ　ﾌﾞﾗｯｸﾍﾟｯﾊﾟｰ入 4個
水 2カップ
鶏もも肉 ２００ｇ（小さく角切り）
水 100cc
味噌 40g
豚ひき肉 200g
◇鮭フレーク 適量
ベビーチーズ ３個
エビ 4尾
ゴボウ 2分の1本
しらす 20㌘
玉ねぎ 1/2こ
豚肉 ５０ｇ
酒・味醂・醤油 同量（各大匙１－２）
グラニュー糖 １００ｇ（いちじくの２０％）
にんじん 1/2本
白菜 2～3枚
にんにく ２かけ
キャベツ 50ｇ
チョリソー又はソーセージ 約１００ｇ
◎イチゴジャム 50ｇ
たまねぎ 中1個
玉葱 ２個
みそ 大さじ2と1/2
ニンジン ４分の１本
ごはん 2膳分
キャベツ 50g
ルッコラ 1枚
しめじや舞茸など好きなｷﾉｺ 1袋
玉ねぎ １個
にんじん 中１個
大根 １/２本
○酒 大さじ２
中華スープ（麺についてくるヤツ） 10g
サラダ油またはオリーブオイル 大さじ2
牛乳 大さじ2
砂糖 大匙すりきり8～10。お好みで。
砂糖 ４０ｇ
ケチャップ 200cc
ちくわ ５～６本
味噌 小さじ1/3くらい
大根 5ｃｍくらい
★バター ６０ｇ
ニンジン（短冊切） 小1本
大根 作ろうと思っているチャーハンのご飯不足分
牛肉 ２００ｇ
カナダ産メープルシロップ 15g
マーガリン 適量
大根 ４センチぐらい
