うどん(ゆで) 2玉
○みりん 大１　
あんこ お好みで
★みりん 大１,５
酢 大１
砂糖 大さじ２
麺つゆ（3倍濃縮）・酢・水 各大さじ２
マッシュルーム ２分の１パック
胡椒 少々
カレールウ 50g
生クリーム 200ｃｃ
シナモン 適量
サラダオイル 100ｇ
ケチャップ 大さじ4
砂糖 大さじ３
ぬるま湯 190ｃｃ
☆湯 小さじ１
卵 2個
干ししいたけ ７～8個
砂糖 ２４０ｇ
ご飯 2膳分
塩・ブラックペッパー 適量
オリーブオイル 適量
サラダ油 大さじ1
生クリーム(お好みで) 少々
醤油 大さじ3
にんにく １片
さびた釘or鉄のかたまり 釘＝10〜13本　鉄＝3個
バター 10グラム
カレー粉 小さじ１～１．５
にんじん 適量
しょうゆ 適当
塩 少々
インスタントドライイースト ３ｇ
みりん 大さじ2
にんにく 1かけら
チキンコンソメ 少し
★水あめ 小さじ1
卵（塗る用） 大さじ１
きゅうり ３分の１くらい
ごはん 1
水 130cc
みりん 大さじ１
●醤油 少々
ねぎ １本
卵 1個
砂糖 大さじ２
青海苔 適量
卵 3個
ベーコン 4枚
マヨネーズ 大さじ1
塩、ブラックペッパー 適量
卵 1個
干クランベリー 大さじ２
☆砂糖 大さじ２
塩 少々
干し椎茸 ４枚
◆ｼﾛｯﾌﾟ(甘露煮) 80〜100cc
チョコチップ お好みでどうぞ
人参(みじんぎり） ３０ｇ
小麦粉、卵、パン粉 適量
水 大さじ２
●砂糖 小さじ1
☆オレンジリキュール 小さじ 2
豚こま肉 ２００ｇ
卵 2個
粗挽き黒胡椒 少々
こんにゃく 1/2枚
牛乳 卵と合わせて１５０ｇ
塩 少々
★コンソメキューブ 1個
スパイシーグルメソルト又はクレイジーソルト 5g
ドライイースト ３～５ｇ
じゃがいも 適量
塩、胡椒 適量
しょうが １かけ（スライス）
★七味 少量
冷凍パイシート ２枚
　オニオン 1/2個
水 180cc
米 1カップ
☆カレー粉・ケチャップ・中濃ソース・しょうゆ 各　大さじ１
干ししいたけ 2.3個
◇塩胡椒 少々
ケチャップ 小さじ1
出し汁 2カップ
鷹の爪 1本
塩 小さじ１
サラダ油 大さじ1
味のり「極」 お好みで
クミンシード 小さじ１弱
砂糖 60ｇ
白ワイン（または酒） 適量
しょうが みじん切りで小さじ1くらい
黒コショウ 適宜
☆塩コショウ 少々
味のり　極 お好みで
ご飯 適量
塩こしょう 適量
水 1カップ
水 ４００ｃｃ
●醤油 １/２カップ
●マヨネーズ 大さじ４
トマトケチャップ 大さじ2～3
水 大２
おろしにんにく 3g
★バニラエッセンス 少々
★油揚げ（細切り） 2枚
サラダ油 大さじ1
サラダ油 大さじ２
無塩バター 5g
粉チーズ 30グラム
ココア 適量
マヨネーズ 適量
●クレージーソルト 少々
●砂糖 小さじ1/2
にんにく 1かけ
ペンネ（orマカロニ） 60~70g
☆醤油 130〜150ml
☆　醤油 大さじ１．５
ドライイースト 5g
桜海老 大さじ3
豆板醤 小さじ1
お好みで柚子の皮 少々
レーズン 90g
しょうゆ 小さじ2分の1
醤油 小さじ１〜２
☆醤油 大さじ1〜1.5
青ネギ 適量
クレイジーソルト 少々
塩 小さじ1弱
　　三温砂 ３０ｇ
ニンニク １片～お好みで
ドライイースト ３㌘
クローブ ４粒
サラダ用　水菜、トマト、マッシュルーム 少々
ニンニク 1かけ
醤油 小さじ1/3
中華三昧 北京風拉麺 １袋
☆みりん 大さじ1 1/2
生姜 40g
☆しょう油 大さじ５
ほうれん草 ほかの野菜と同量
砂糖 1カップ
お好きなパン お好みで
★ローリエ 1枚
白だし 大１
塩小さじ 1 /4  
牛乳 90ｇ
バニラエッセンス 数滴
みりん 大2
さび釘 10本位
ごま油・塩 適量
トマト １／２個
アーモンドプードル 20ｇ
★醤油 大2
乾燥ガーリック お好みで（目安3片）
料理酒　 　大さじ２
片栗粉 小さじ1
グリーンリーフ １株
●ローリエ 1枚
にんにく 1かけ
みりん 大2
ベーキングパウダー 小さじ2
天かす 大さじ２
コンソメ 1個
醤油 ２滴
ケチャップ 大7
白ゴマ 大さじ２くらい
人参 2cm位
バター 大さじ１
水 ２５０ｃｃ
▼メープルオイル 大さじ１/２
マヨネーズ 適量
レモン汁 大さじ1
にんにく ２かけ
卵 1個
お酒 大1
にんにく １かけら
中華あじ 小さじ2
胡椒 少々
塩・コショウ お好み
★重曹 小さじ1/2
レモン〔果汁〕 ３０ｇ
とろけるチーズ（スライスタイプ） 1枚
☆砂糖 大さじ　1/2
★酒 大さじ２
スライスチーズ ８０グラム
☆しょうゆ 大さじ２
★寒天 １ｇ
※生クリーム ２００ｍｌ
熱湯 約450ml
長いも摩り下ろしor卵 大３
ブロッコリー １００ｇ
オリーブオイル(他の油でも) 大さじ1/2
ゆずの皮のすりおろし １/２個分くらい
＊塩 少々
◎砂糖 大さじ3
醤油 大匙2
☆しょうゆ 大さじ３
塩 ひとつまみ
ガーリック油 大さじ1/2強
ごま油 適量
Ｂ酢 大さじ1
酒 大さじ１
水 1カップ
＊すりゴマ 大さじ2～3
ホイップクリーム プレーン味
砂糖 小さじ　１
とろけるチーズ 4枚
☆出汁 100ｃｃ
♡水 ２００ml
豚小間 150g
ちゃんぽん麺 ２袋
サラダオイル 大匙2杯
ベーキングパウダー ３ｇ
♡砂糖 大さじ３
チーズ お好みの量で！
牛乳 ２００ｍｌ
水（ちょっと冷ため） 180ml
★クコの実 ８粒
ピザ用チーズ 適量
＊水 大さじ1
溶き卵 １個
バニラエッセンス 適量
ハム　　　　　　1ｃｍ角 100ｇ
薄口しょうゆ 小さじ１～２
いりゴマ 少々
スパゲティ ４５０ｇ
塩 小さじ1/2弱
サラダ油 大さじ１
マヨネーズ 大さじ２
干ししいたけ ８～１０枚
粒の中華だし 小1
★醤油 大さじ１．５
ゆでたけのこ 80g
さつまいも １／２
卵 １個
水 大さじ3
ブラックペッパー ひとつまみ
だし汁 １㍑
砂糖 大さじ２
ｺﾝｿﾒ粉末 適量
さつまいも １／３個
绿茶粉 10g
キャベツ 1枚
片栗粉 適量
おろししょうが 小さじ1
砂糖 大さじ１と１/２
塩 少々
みりん 大さじ４
★卵 １個
◎コンソメ 小さじ2
片栗粉 適宜
白ワイン １００ｃｃ
ゴマ油 小さじ１
スライスチーズ 1枚
醤油 小さじ２
しょうゆ 大さじ1.5
●サワークリーム １カップ
●輪切りとうがらし 1/2本
サラダ油 大さじ1
マカデミアナッツ ６８ｇ
塩 ３g
おさかなソーセージ １本
にんにく　　 ﾁｭｰﾌﾞ大匙1/2
　　卵 １個
ﾄﾞﾗｲｲｰｽﾄ 小1
チーズ たっぷり
ブイヨン 1個
砂糖 大さじ3
砂糖 小さじ２
卵 １個
固形コンソメ 半分
みりん 大さじ２
しょうゆ 小さじ2杯（くらい）
中華だし 1つまみ
★しょうゆ 大さじ２
白菜 １／４個
油（いり卵用） 小さじ１.5
ごま油 少量
ラム酒 大さじ1
水 150ｃｃ
蒲鉾又はナルト 適量
ケチャップ 大さじ4
薄力粉 ２５０グラム
水 １５０ｃｃ
パルメザンチーズ 少々
ブランデー 大さじ　1
切干大根 ３０グラム
玉ねぎ 1個
春雨 ４０ｇ（小袋１袋）
薄力粉 ２０ｇ
Ａレモン汁(「ポッカ」レモン汁でも可) 小さじ1/2
味醂 大さじ２
フェンネル 1枚
生クリーム 大さじ1
◎焼き海苔 ４枚（半分に切る）
しょうが １かけ
ドライハーブ（バジル、オレガノなど） 少々
ふじりんご 中１個（皮と芯を除き、８等分のくし形切り）
パプリカ 5ミリ角を12個
マーガリン（バターでも可） 大さじ１
ふじりんご １個（皮と芯を除き、８等分のくし形切り）
ほうれん草 １束
水 ２０ｇ
卵 1個
青のり 適量
ニンニク 1かけら分（お好みで入れて下さい）
Ａナンプラー 大さじ１/２
Ｂ薄力粉 １２０ｇ
●水 ２００ｃｃ
みりん 大さじ１～２
あらびきコショウ 適量
いりごま 小さじ1/2
全粒粉 40g
バター 15ｇ
くちなしの実 ２個
オリーブ油 少々
バター １０ｇ
缶詰パイナップル １５０ｇ（汁をきって）
塩・あらびきこしょう 各少々
重曹 小さじ1
ベビーチーズ ２個
はちみつ 小さじ１
塩 小さじ１/２
ごま油 小1/2
牛乳 30g
クリームチーズ★ １個につき30g
牛乳 100g
米 3合
塩 2g
室温に戻したバター 45ｇ
■パセリ（みじん切り） 大さじ１～
水 100g
〇酢 小さじ1と1/2〜小さじ2
バター 10g
あらびきこしょう 多めに
牛乳 100ｃｃ
水溶き片栗粉 少々
砂糖 ７０ｇ
酒 大さじ６
残りのシチュー 適量
オリーブオイル 適量
クレソン 20ｇ
■かぼちゃの種 １０粒～
バター 適量
オリーブオイル 適量
ピンクペッパー 適量
しょうゆ 小さじ１
梅干し(なくてもＯＫ) １個
牛乳　又は豆乳 ３００ｃｃ
蓮根とたらこ 適宜
ごま油 大さじ１
砂糖 大２
モチ粟 1/4C
マヨネーズ 少量
こしょう 少々
パン粉 適量
Ａ　しょうゆ 大さじ２
塩、こしょう 各少々
砂糖 大1
重曹 小さじ 1 (小さじ 1/2)
薄力粉、パン粉(生) 適宜
○オイスターソース 小さじ１/２
●砂糖 小さじ1
牛乳 160g
砂糖 大1
■　塩 少々
酢 大さじ4
卵黄 ２個
抹茶パウダー 適量
生クリーム 200g
熱湯 6 カップ (1200ml)
◎醤油 大さじ３
水 大さじ２
片栗粉 大さじ２
ゆずの絞り汁 小匙２
溶けるチーズ 大匙1
みりん 適宜
みりん 大さじ3
サラダ油 適量
みりん 大さじ２
ドライイースト 小さじ１
オイスターソース 小さじ1
レタス ２枚
塩・ブラックペッパー 少々
醤油 大さじ１
砂糖 大さじ2
おろしニンニク 小１かけ分
砂糖 大さじ2
＊砂糖 ２５g
☆塩：お酢 適量
★砂糖 大さじ５
ちりめんじゃこ 1つかみ
砂糖 大さじ3～4
パン粉 適量
◎塩 小さじ０．５
みりん 大さじ１
塩 ひとつまみ
ごま油 少々
塩 小さじ１
酒　　 ５０ｃｃ（２）
★酢 大さじ１
ねぎ １本
塩・こしょう・クミン 適量
塩・こしょう 適宜
☆醤油 大匙３
塩 少々
バジルオイル　　レシピID：1000837 大１とちょっと
水 ５００ｃｃ
塩、コショウ お好みの量
キャベツ ５枚
洋酒 15cc
大根 ５ｃｍ
☆醤油 大さじ3
水あめ 15CC
切り餅 4個
塩・コショウ 少々
☆醤油 小1.5
きゅうり １本
塩・白こしょう 適量
★２人参　冷蔵庫残りモン 適量
*ゴマ油（orサラダ油） 大さじ１
◎ごま油 小さじ１
ニンニク １片
ごま油 少々
★お湯 ２５ｃｃ
醤油 大さじ２
★ごま油 大さじ1/2
味醂 大匙1
きのこ 好きなだけ
こんにゃく １枚
塩 小さじ1/4
✮生クリーム 150ml
＊砂糖 大さじ2
みりん 小さじ２
コチュジャン 大さじ３
塩 少々
人参 1本
白味噌 大さじ４弱
アラザンや粉砂糖 適量
■みりん 大さじ2
★酒 1/4カップ
オリーブオイル 大さじ２
塩 小さじ1/2
卵白(Ｌサイズ) 1個分
牛乳 1/4カップ
醤油 小さじ２
☆酢 小さじ1
ハチミツ 大さじ1
コーン １／２缶
☆牛乳 100ｃｃ
プチトマト 8個
酒 小さじ１
無塩バター 15ｇ
クレソン ひと束
こぶ茶 大さじ１＋小さじ１
みりん 適宜
酢 大さじ１
のり、鰹節 好きなだけ
薄力粉 80ｇ
かんぴょう 50グラム位
塩 ひとつまみ
グレープシードオイル 小さじ１
＊サラダ油 100cc
くちなしの実 1～2個（大きさによる）
ナンプラー 小さじ1～2
粉ゼラチン ８ｇ
＠お酢 大匙2
中華だし（ウェイパーや李錦記など） 大さじ２（種類に応じて加減して下さい）
黒胡椒 少々
小麦粉 大さじ１
バナナ ２本（お好みで！）
じゃがいも 大３個
醤油 200ml
バター 50g
☆ドライイースト 5ｇ(約小3)
＊豆板醤 小1/2
カットトマト缶 1/4缶
水 大さじ３～４（ミンチが滑らかになります。）
牛乳 30ml
★薄口醤油 小1
小麦粉 適量
めんつゆ 大さじ1.5(調整を)
＊オイスターソース 小さじ1
※七味唐辛子 適宜
大葉 ４枚
バター 10g
塩コショウ 少々
★さとう 大さじ12（2）
豆麩 １袋
牛乳 100cc
合わせ酢用＊みりん 大さじ１
（アーモンドプードル） 10g
Ａ・水 大さじ２
☆トマト（1cm大のサイコロ切り） １個
スープ（コンソメ） 1/2カップ
牛乳 大さじ３
しょうゆ 小1
◎砂糖 ２００G
●サラダ油 大さじ1
★片栗粉 小さじ２
はちみつ 大１～２
新聞紙 １枚
油揚げ １／２枚
ニンニク 1かけ
☆水 １００cc
ブロッコリー 適量
みりん 大１
牛乳 50ｃｃ
蓮根（乱切り） 小1節
植物性脂肪ホイップ ２００ｃｃ
メープルシロップ 30グラム
☆薄口醤油 小さじ１
酒 大２
薄口しょうゆ 小さじ1/2
砂糖 大３
冷凍うどん ２玉
だし汁 ６００ｃｃ
粗挽き塩コショウ 少々
白ゴマ お好みで
★牛乳 大さじ３
赤ワイン 100ml
片栗粉 小さじ山盛り3杯位
ぜんまい 5本くらい
　にんにく　（スライス） １片
いりゴマ 小さじ1弱
日本酒 100cc
ツナ缶 小１缶
ゴマ油 大匙１、５
オレガノ（乾燥） 大さじ１/2
みりん 大さじ1
オリーブオイル 大さじ１
小麦粉、パン粉 各適量
☆砂糖 大２
（あれば、干し椎茸 適量）
・みりん 大さじ2
☆水あめ（なければ蜂蜜） 10ｇ
■みりん 大1
サラダ油 適量
みそ 大さじ１
のり 適量
アーモンドプードル ２０ｇ
塩 少量
砂糖 小さじ2
カカオリキュール 小匙１
洋酒(家ではラム酒) 適量(お好み)
