■水 500ml
塩 少々
ネギ 適量
ごま油 大さじ０．５
黒コショウ 小さじ２分の１
水溶き片栗粉 大さじ1
油 大さじ1
塩 適量
レモン汁 大匙1
マスタード 15ｇ
◆又は、市販のクッキー生地でもＯＫ！ ◆クッキー生地なしでココットで作っても美味♪
ツナ缶 大1缶
砂糖 大さじ３
バニラエッセンス 数滴
昆布巻き 1袋
バニラエッセンス 少々
ブラックペッパー 少々
醤油 ５０ｃｃ
塩・胡椒 少々
その他おでんに合うタネ 適当
切ったチャーシューかハムでも 好きなだけ
ネギ １本
ケトリング用　湯 ２L
牛乳 100ｃｃ
アーモンドスライス 大さじ2
塩 お好みで
インスタント粉末キャラメルラテ 1袋
醤油 大さじ３～４
ゆず 適量
塩 少々
和風だし 小さじ2
塩、ブラックペッパー 適量
イタリアンパセリ 適量
★みりん 50cc
上白糖 大匙２杯
ピザ用チーズ カップ1/2
お好み焼きソース 適量
アーモンドプードル 35g
マヨネーズ 大さじ1
三つ葉 適量
ドライイースト ４ｇ
牡蠣（加熱用） 1パック（使用したのは80ｇでした）
赤ワイン 100cc
しょうゆ 大さじ1
♪ドレッシング お好みで
　マッシュルーム １パック
しょうゆ 大4
ズッキーニ 3分の1本
塩こしょう 少々
生姜(みじん切り、チューブ等も可) 5cc
★白菜 3〜4枚
酒 大さじ１
粒マスタード 小さじ2
おろしニンニク 小さじ１
生クリーム 30ｃｃ
ローレル（あれば） ２枚くらい
ネギ(小口切り) 適量
ﾌﾞﾗｯｸﾍﾟｯﾊﾟｰ 多めに!
固形スープの素 1個
小麦粉 大さじ１
●コンデンスミルク 大さじ1.5
バジル（100均で売られてる瓶詰タイプ） 適量
ﾊﾞﾆﾗｴｯｾﾝｽ 数滴
塩・こしょう 適量
チョコチップ（お好みで♪なくても可） 適量
顆粒だし 小１
カレー粉 大さじ1
ケチャップ 大さじ２
水 180g
黒胡椒 適量
バター 30g
生姜 １片
万能ネギ 5本
キムチの素 小さじ半分
白ごま お好みで
※　中華あじの素 大さじ３
砂糖 大さじ1
にんじん 少量（トッピング用）
無塩バター １０ｇ
お酒 大さじ　１．５
砂糖 １５０㌘
とろけるチーズ 好きなだけ
オリーブオイル 大さじ２
☆砂糖 大さじ1 1/2
ニラ(お好みで) 1/3束
☆みりん 大さじ３
パン粉(Ｂ) 大さじ１
✿醤油 小さじ１／２
オリーブオイル 適量
白ワイン 大さじ2杯
強力粉（今回はタイプER） 150ｇ
＊ラム酒でのばしたアプリコットジャム ＊適量
マヨネーズ 大さじ２
牛乳 20ｇ
大葉 お好みで
乾燥オレガノ お好みで
酒蒸しの汁 ２００ｃｃ使用
サラダ油 大さじ1
ハチミツ 大1/2
グラニュー糖 80g
卵 １個
塩コショウ 少々
パセリのみじん切り 少々
酒 １００ｃｃ
いんげん 2本
オリーブオイル 大さじ１
醤油 小さじ１
Δメープルシロップ（ケーキシロップでも） 大さじ2
好みで里芋、人参、こんにゃくetc… 適量
醤油 大2
鶏ガラスープの素 小さじ1
胡椒 少々
水飴 大さじ２程度
バター ３０ｇ
ソーセージ 適量
すりごま（白） 大さじ　1強
一味唐辛子 お好みで
☆からし 小さじ２（好みで）
※ゴマ 適量
ジャガイモ 約4個
水 大1
好みでハーブ塩 適量
ブラックシード（黒クミン/ニゲラ/カロンジ） 少々（無くてもok）
◎クローブ（ホール） 4
生姜のスライス 1枚
☆砂糖 大さじ１
＊醤油 大さじ2
ごま 好きなだけ
牛乳 70ｃｃ位
＊メンツユ（ストレート） 大さじ2～3
チーズクリーム 中身用
＊小麦粉 大さじ4と1/2
☆みりん 小さじ1
♡砂糖 ２０g
はんぺん 1枚
チーズ 適量
シチューの素 目分量；；
味噌 大さじ１
☆プチトマト ４個
＊コーンスターチ 小さじ1/4
白いり胡麻 大さじ４〜５
とろけるチーズ １枚
塩 少々
■ベーキングパウダー 大さじ１
干ししいたけの戻し汁 ２カップ
★砂糖 大さじ１．５
さやえんどう 20g
塩・コショウ等 適量
強力粉 ６０ｇ
葉野菜（レタス、ルッコラ、水菜など） 適量
砂糖 大さじ１．５
醤油 大さじ２
白菜（柔らかい部分） ５枚
ポン酢 少々
オイスターソース 小さじ１
人参 ６０g
　水 半カップ
B：しょうゆ 大さじ３
玉葱 1/3コ
●バニラエッセンス 少々
ケトリング用　砂糖 大さじ２
水 １２５g
■チーズ 適量
ﾛｰﾘｴ 2〜３枚
　　塩（約1リットルの水に対して） 小さじ　２
塩こしょう 適宜
酒 小さじ1
にんにく １/2玉
●カレー １個分大さじ１程
濃口しょうゆ 少々
塩 少々
★塩 少々
長ネギ １本半
塩 適量
豆板醤 適量
●りんご 150ｇ～160ｇ
塩・コショウ 適宜
だし昆布 １０～１５ｃｍ
片栗粉 大さじ1
クリームチーズ ２００グラム（多くてもOK）
こしょう 少々
塩、こしょう 各少々
水 大さじ  3
サラダ油 大さじ３
●みりん 大さじ1
塩 少々
数の子 適量
塩・コショウ 適量
◎大葉 １６枚
醤油 おたま２杯分
パセリ（乾燥） 適量
なると １本
卵（Ｍ） １個～１個半（ときほぐしてぬるめの湯煎であたためておく）
パンプキンパウダー 大さじ1
コショウ 少々
●薄口醤油 ～大さじ１
ポッかレモン 小1
味噌 大さじ1
水 170ｇ
乗せる具・お好みで 適量
レモン汁 少々
炭酸水 大さじ３
砂糖 小さじ１
醤油 大１
酢 60ｃｃ
小麦粉 大１
■塩 ふたつまみ
塩 2g
〇塩 小さじ1/4
塩・こしょう 各少々
イチゴ お好み
かつお節 少々
オレンジジュース（１００％果汁のもの） 160ｃｃ
粉チーズ 大さじ２
塩コショウ 適量
キャベツ 1/8個分ぐらい　　ざく切り
コハダ酢〆 1パック
レモン汁 ２～3滴
ゴールデンシロップ （省略可） 大さじ 2 (大さじ 1)
○酒 小さじ２
水 小さじ半分
■　はちみつ 小さじ1/2杯
砂糖 大さじ６
ラチン 大1
◎ゴマ油 大さじ１/２
サラダ油 少量
薄力粉 大さじ山盛り２
砂糖 小２
片栗粉 大さじ1
（彩りに）ほうれんそうのゆでたもの 適宜
酒 大さじ3
カレー粉 大さじ１
しょうゆ 大さじ3
バジル お好みで
塩、こしょう 少々
ドライイースト 小さじ1
キャベツ（添え） 適量
お好みで：昆布 ５ｃｍ程度
☆牛肉（薄切り） ４０ｇ
　しめじ ０．５パック
玉ねぎ １個
★塩コショウ 少々
赤唐辛子 1/2本
スパゲッティー ２００ｇ（２人分で）
コチュジャン 　大さじ１
マヨネーズ 適宜
薄口醤油 大さじ１
☆酒 大さじ1
上白糖 20ｇ
●塩 適量
塩コショウ 少々
ハム ４枚
★３オリーブ １個
焼き海苔 ２枚
にんにく １〜２かけ
市販の色の薄い濃縮つゆ 大匙1と1/2
三温糖 大さじ３
✭無添加コンソメ 小さじ2
＊酒 大さじ2
塩 一つまみ
酒 大さじ１
＊砂糖 大さじ1
砂糖 大さじ３
薄口しょうゆ 大さじ3.5
★塩 小さじ1/3
塩 ０．１グラム前後
糸かつお 適宜
◎だし汁 200ｃｃ
白ワイン、または酒 大さじ1と1/2
☆醤油 大さじ2
