■酒 40ml
黒コショウ 少々
えび天 ３匹
チリソース 適量
砂糖 小さじ１
ごはん 4人分
イタリアンパセリ 1,2本
塩 3ｇ　調整用
マヨネ－ズ 適量
バター ３５ｇ
醤油 大匙１．５杯
卵 ３個
玉ねぎ 1／4個
蜂蜜 大さじ２
しょうゆ 適当
ケトリング用　砂糖 大さじ２
塩、ブラックペッパー 少々
酒※（仕上げ用） 小さじ2
マヨネーズ お好みで
ドライイースト 4ｇ
おろししょうが 大さじ２
塩、ブラックペッパー 少々
油 適量
バター(マーガリンでもＯＫ) 10ｇ
イタリアンパセリ 適量
★しいたけの戻し汁 50cc
ミリン 大匙２杯
ハムまたはベーコン(短冊切り） ５０ｇ
マヨドレ 適量
牛乳 大さじ1
ケチャップ 大さじ1
ゆずの皮 適量
★玉ねぎ １００ｇ
ホワイトマッシュルーム 3個
★水 200〜300cc
すりおろしニンニク 大さじ1
揚げ油 適宜
　バター 適宜
みりん 大6
プチトマト 6個
ご飯 １．５合
にんにく(みじん切り、チューブ等も可) 5cc
★にんにくﾁｭｰﾌﾞ 1cm
しいたけ戻し汁＋水 ４５０ｃｃ
塩 適量
トマトホール缶 トマトのみ４個位
クックパークッキングシート たくさん
黒こしょう 適量
ローリエ 2枚
顆粒コンソメ 大さじ１／２
ピザ用やとろけるチーズ 好きなだけ
牛乳 大２と２/３
ブラウニーミックス（市販品） １箱
椎茸の戻し汁と水 1カップ
ケチャップ 大さじ5くらい
すりおろしにんにく 小さじ１
ドライイースト(自動投入) 3g
小麦粉 30g
お湯 適量
天かす（揚げ玉） 1/4カップ
白練り胡麻 大さじ１
※　合わせ味噌 大さじ４
オリーブオイル 大さじ1
レモン ２～３個
醤油 大さじ　１．５
卵黄 ２個分
パセリ 適量
パルメザンチーズ 適量
唐辛子 １本
ナンプラー 50ｍｌ
☆水 大さじ３
粉チーズ(Ｂ) 大さじ２
✿砂糖 小さじ１／４
塩・胡椒 少々
オリーブオイル 大さじ1
砂糖 25ｇ
ゆず胡椒 小さじ１
生クリーム 300ｇ
めんつゆ（２倍濃縮） 大さじ２
醤油 大さじ1
生地 お玉２杯分
粉チーズ 適量
塩胡椒 適量
醤油 大さじ２と1/2
たけのこの水煮 1/8個
塩 適量
コショウ 少々
Δメープルオイル 少々
みりん 大1/2
酒 大さじ1
重曹（薄皮とり用） 適量
☆ゴマ油 大さじ１
だし汁 ３カップ
ケトリング用　湯 ２L
白胡麻 少々
八角 1個
☆酒 大さじ１
＊ミリン 大さじ2
※醤油 少々
かぼちゃクリーム 適量
＊顆粒コンソメ 大さじ1
☆ネギのみじんぎり 1本分
スライスチーズ 1枚
パン粉 お好みで！
料理酒 大さじ１
☆出し汁 ３００ｃｃ
